Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Татарстан,Новосибирская обл.,Свердловская обл.
ЕГАИС,ЕГАИС (алкоголь) — Базовый,Egais,4 000,4 000,4 000,4 000,4 000
ЕГАИС,ЕГАИС (алкоголь) — Опт,Egais_opt,7 000,7 000,7 000,7 000,7 000
ЕГАИС,ЕГАИС (алкоголь) — Профи,Egais_prof,8 500,8 500,8 500,8 500,8 500
Меркурий,"Меркурий (мясо, молочка) — Базовый",Mercury,4 000,4 000,4 000,4 000,4 000
Меркурий,"Меркурий (мясо, молочка) — Опт",Mercury_opt,7 000,7 000,7 000,7 000,7 000
Меркурий,"Меркурий (мясо, молочка) — Профи",Mercury_prof,8 500,8 500,8 500,8 500,8 500
Маркировка,Маркировка лекарств,Marking_f,10 000,10 000,10 000,10 000,10 000
Маркировка,Маркировка лекарств — доп. пакет,Add_farma,7 000,7 000,7 000,7 000,7 000
Маркировка,Маркировка остатков,Marking_ost,7 000,7 000,7 000,7 000,7 000
Маркировка,Маркировка ювелирных изделий (Saby Retail),dmdk,15 000,15 000,15 000,15 000,15 000
Маркировка,Маркировка — Базовый,Marking,4 000,4 000,4 000,4 000,4 000
Маркировка,Маркировка — Опт,Marking_opt,7 000,7 000,7 000,7 000,7 000
Маркировка,Маркировка — Профи,Marking_prof,13 500,13 500,13 500,13 500,13 500
Прослеживаемость,Прослеживаемость кодов партий (налоговая),Tracking,5 500,5 500,5 500,5 500,5 500
