Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Адыгея,Республика Башкортостан,Республика Бурятия,Республика Алтай,Республика Дагестан,Республика Ингушетия,Респ. Кабардино-Балкарская,Республика Калмыкия,Респ. Карачаево-Черкесская,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Северная Осетия - Алания,Республика Татарстан,Республика Тыва,Удмуртская Республика,Республика Хакасия,Республика Чечня,Республика Чувашия,Алтайский край,Краснодарский край,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская обл.,Архангельская обл.,Астраханская обл.,Белгородская обл.,Брянская обл.,Владимирская обл.,Волгоградская обл.,Вологодская обл.,Воронежская обл.,Ивановская обл.,Иркутская обл.,Калининградская обл.,Калужская обл.,Камчатский край,Кемеровская обл.,Кировская обл.,Костромская обл.,Курганская обл.,Курская обл.,Ленинградская обл.,Липецкая обл.,Магаданская обл.,Московская обл.,Мурманская обл.,Нижегородская обл.,Новгородская обл.,Новосибирская обл.,Омская обл.,Оренбургская обл.,Орловская обл.,Пензенская обл.,Пермский край,Псковская обл.,Ростовская обл.,Рязанская обл.,Самарская обл.,Тольятти,Саратовская обл.,Сахалинская обл.,Свердловская обл.,Смоленская обл.,Тамбовская обл.,Тверская обл.,Томская обл.,Тульская обл.,Тюменская обл.,Ульяновская обл.,Челябинская обл.,Забайкальский край,Ярославская обл.,Еврейская АО,Ненецкий АО,Ханты-Мансийский АО,Чукотский АО,Ямало-Ненецкий АО,Запорожская обл.,Республика Крым,Севастополь,Донецкая нар. респ.,Луганская нар. респ.,Херсонская обл.
CRM и телефония,Внутренний,Call_Group,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
CRM и телефония,Внутренний,Ext_Number,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500
CRM и телефония,Внутренний,Int_Number,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
CRM и телефония,для ЮЛ,Cloud_ATS,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000
Видеонаблюдение,Срок хранения,Video_15,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200,6 200
Видеонаблюдение,Срок хранения,Video_30,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400,9 400
Видеонаблюдение,Срок хранения,Video_60,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300,16 300
Видеонаблюдение,Срок хранения,Video_90,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000
Видеонаблюдение,Срок хранения,Video_Mon,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000
Сервис и администрирование,Техподдержка (helpdesk),helpdesk,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000,25 000
Сервис и администрирование,один администратор,Remote_prof,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000
Сервис и администрирование,один администратор,Remoteprof_1,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000
Сервис и администрирование,один администратор,remote,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000
Сервис и администрирование,один администратор,remote_1,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000
