Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Адыгея,Республика Башкортостан,Республика Бурятия,Республика Алтай,Республика Дагестан,Республика Ингушетия,Респ. Кабардино-Балкарская,Республика Калмыкия,Респ. Карачаево-Черкесская,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Северная Осетия - Алания,Республика Татарстан,Республика Тыва,Удмуртская Республика,Республика Хакасия,Республика Чечня,Республика Чувашия,Алтайский край,Краснодарский край,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская обл.,Архангельская обл.,Астраханская обл.,Белгородская обл.,Брянская обл.,Владимирская обл.,Волгоградская обл.,Вологодская обл.,Воронежская обл.,Ивановская обл.,Иркутская обл.,Калининградская обл.,Калужская обл.,Камчатский край,Кемеровская обл.,Кировская обл.,Костромская обл.,Курганская обл.,Курская обл.,Ленинградская обл.,Липецкая обл.,Магаданская обл.,Московская обл.,Мурманская обл.,Нижегородская обл.,Новгородская обл.,Новосибирская обл.,Омская обл.,Оренбургская обл.,Орловская обл.,Пензенская обл.,Пермский край,Псковская обл.,Ростовская обл.,Рязанская обл.,Самарская обл.,Тольятти,Саратовская обл.,Сахалинская обл.,Свердловская обл.,Смоленская обл.,Тамбовская обл.,Тверская обл.,Томская обл.,Тульская обл.,Тюменская обл.,Ульяновская обл.,Челябинская обл.,Забайкальский край,Ярославская обл.,Еврейская АО,Ненецкий АО,Ханты-Мансийский АО,Чукотский АО,Ямало-Ненецкий АО,Запорожская обл.,Республика Крым,Севастополь,Донецкая нар. респ.,Луганская нар. респ.,Херсонская обл.
Планы отчетности,Нулевая отчетность / ИП без сотрудников,EOpNull,3 000,2 500,1 500,2 500,1 500,2 500,1 500,2 000,2 000,1 500,2 000,2 500,2 000,2 000,2 500,2 500,2 500,2 000,2 000,2 000,1 500,2 000,1 500,2 000,2 500,2 500,2 000,2 000,2 000,2 000,1 500,1 500,1 500,2 000,2 000,2 000,1 500,2 000,2 000,2 500,2 500,1 500,2 500,2 500,2 000,2 000,2 500,1 500,2 000,1 500,2 500,3 000,2 500,2 000,1 500,2 500,2 000,2 000,1 500,2 500,2 500,2 000,2 500,1 500,2 500,2 500,2 000,2 500,2 000,2 000,1 500,1 500,2 000,2 000,2 500,2 000,2 500,2 000,2 000,2 000,1 500,2 000,2 000,2 000,1 500,1 500,1 500,1 500,1 500,1 500
Планы отчетности,Отчетность «Базовый» (вариант B2o),EOpSBISfrmB2o,20 000,11 100,5 800,11 100,10 000,10 000,7 100,7 100,7 100,7 100,7 100,7 800,11 100,7 100,7 100,10 000,7 100,10 000,10 000,7 800,7 800,7 100,5 800,11 100,6 300,10 000,10 000,7 100,10 000,10 000,6 300,7 100,6 300,7 100,7 800,7 800,6 300,7 800,7 800,11 100,10 000,7 100,11 100,11 100,7 800,7 800,10 000,8 000,11 100,7 800,11 100,18 800,7 800,11 100,7 800,12 400,7 800,10 000,7 800,11 100,12 400,7 800,7 800,7 800,12 400,12 400,10 000,11 100,12 400,6 300,7 800,6 500,10 000,7 800,12 400,10 000,11 100,11 100,7 100,10 000,6 300,12 400,10 000,10 000,5 000,6 300,6 300,5 000,5 000,5 000
Планы отчетности,Отчетность «Базовый» (вариант IoN),EOpSBISfrmIoN,10 600,8 700,5 700,7 000,6 400,7 000,6 400,6 400,7 500,5 700,7 500,8 700,7 000,6 400,7 500,8 700,7 500,7 500,6 400,7 500,6 400,7 500,5 000,7 000,8 700,8 700,7 000,7 500,6 400,6 400,5 000,5 700,5 000,5 700,6 400,6 400,5 000,7 500,6 400,8 700,8 700,5 700,7 000,7 000,7 500,6 400,6 400,6 400,7 500,5 700,8 700,8 700,8 700,8 000,6 400,7 500,6 400,6 400,6 400,8 700,7 500,7 500,8 700,5 700,8 700,8 700,7 500,7 000,8 000,5 700,5 700,5 700,6 400,6 400,7 500,6 400,7 000,7 000,5 700,7 000,5 000,7 500,7 000,7 000,5 000,6 400,6 400,5 000,5 000,5 000
Планы отчетности,Отчетность «Базовый» (вариант O2oN),EOpSBISfrmO2oN,31 100,15 800,11 500,15 800,14 200,14 200,11 500,11 500,14 200,10 500,14 200,15 800,17 400,11 500,14 200,17 400,14 200,14 200,14 200,14 200,14 200,14 200,8 700,15 800,15 800,15 800,14 200,14 200,14 200,14 200,8 700,10 500,8 700,10 500,14 200,14 200,8 700,14 200,14 200,17 400,15 800,10 500,17 400,15 800,14 200,14 200,14 200,14 200,15 800,11 500,17 400,23 300,15 800,15 800,14 200,17 400,14 200,14 200,14 200,15 800,17 400,14 200,15 800,11 500,17 400,17 400,14 200,17 400,17 400,11 500,11 500,10 500,14 200,14 200,17 400,14 200,15 800,15 800,10 500,13 500,8 700,17 400,13 500,13 500,8 700,11 500,11 500,8 700,8 700,8 700
Планы отчетности,Отчетность «Базовый» (вариант Uo),EOpSBISfrmUo,17 700,11 300,8 700,11 300,9 600,10 000,8 700,8 700,9 600,8 000,9 600,11 300,11 300,8 700,9 600,11 300,9 600,9 600,9 600,9 600,9 600,9 600,7 000,10 000,10 000,11 300,9 600,9 600,9 600,9 600,7 000,8 000,6 500,7 300,9 600,9 600,7 000,9 600,9 600,13 000,11 300,7 000,11 300,11 300,9 600,9 600,9 600,8 700,11 300,8 700,11 300,15 000,11 300,11 300,9 600,13 000,9 600,9 600,9 600,11 300,13 000,9 600,10 000,8 700,13 000,13 000,9 600,11 300,13 000,8 700,8 700,8 000,9 600,9 600,13 000,9 600,11 300,11 300,8 000,10 000,7 000,13 000,10 000,10 000,6 500,8 700,8 700,6 500,6 500,6 500
Планы отчетности,Отчетность «Корпоративный» (вариант UP005N),EOpSBISfrmUP005N,38 000,22 500,15 000,26 500,18 000,20 000,15 000,15 000,16 000,15 000,16 000,18 000,22 500,15 000,16 000,22 500,18 000,20 000,18 000,18 000,18 000,16 000,11 000,18 000,18 000,20 000,22 500,16 000,22 500,22 500,11 000,13 500,15 000,15 000,18 000,18 000,11 000,20 000,16 000,22 500,22 500,15 000,22 500,22 500,18 000,18 000,22 500,18 000,22 500,15 000,22 500,38 000,18 000,22 500,18 000,26 500,20 000,18 000,16 000,20 000,22 500,18 000,18 000,15 000,26 500,26 500,20 000,22 500,22 500,15 000,15 000,13 500,20 000,16 000,26 500,18 000,22 500,18 000,16 000,15 000,15 000,30 000,20 000,22 500,11 000,15 000,15 000,11 000,11 000,11 000
Планы отчетности,Отчетность «Корпоративный» (вариант UP010N),EOpSBISfrmUP010N,58 000,35 000,22 000,35 000,25 000,28 000,22 000,22 000,23 500,22 000,23 500,25 000,35 000,22 000,22 000,35 000,25 000,31 500,25 000,25 000,25 000,23 500,15 000,28 000,25 000,28 000,31 500,23 500,31 500,31 500,16 500,22 000,22 000,22 000,25 000,25 000,16 500,28 000,23 500,35 000,31 500,22 000,35 000,31 500,25 000,25 000,31 500,25 000,31 500,22 000,35 000,58 000,25 000,31 500,25 000,35 000,28 000,25 000,23 500,28 000,35 000,25 000,25 000,22 000,35 000,35 000,31 500,35 000,31 500,22 000,22 000,22 000,28 000,23 500,35 000,28 000,31 500,25 000,23 500,22 000,19 000,42 000,28 000,31 500,16 500,22 000,22 000,16 500,16 500,16 500
Планы отчетности,Отчетность «Корпоративный» (вариант UP025N),EOpSBISfrmUP025N,108 000,67 500,43 500,67 500,56 700,50 000,43 500,43 500,43 500,43 500,43 500,48 000,67 500,43 500,40 000,67 500,48 000,56 700,48 000,48 000,48 000,43 500,23 000,50 000,43 500,50 000,56 700,43 500,56 700,56 700,31 000,40 000,43 500,43 500,48 000,48 000,31 000,50 500,43 500,67 500,56 700,43 500,67 500,56 700,48 000,48 000,56 700,48 000,56 700,43 500,67 500,108 000,48 000,56 700,48 000,67 500,50 000,48 000,43 500,50 000,67 500,48 000,43 500,43 500,67 500,67 500,56 700,67 500,63 500,43 500,43 500,40 000,50 000,43 500,67 500,56 700,56 700,48 000,43 500,40 000,37 000,82 000,56 700,63 500,31 000,43 500,43 500,31 000,31 000,31 000
Планы отчетности,Отчетность «Корпоративный» (вариант UP050N),EOpSBISfrmUP050N,140 000,82 000,51 000,82 000,76 000,64 500,51 000,51 000,54 000,51 000,54 000,54 000,82 000,51 000,51 000,82 000,54 000,76 000,60 500,64 500,60 500,51 000,29 000,64 500,54 000,64 500,76 000,51 000,76 000,76 000,40 500,51 000,60 500,60 500,60 500,54 000,40 500,65 500,51 000,82 000,76 000,51 000,82 000,76 000,64 500,54 000,76 000,60 500,76 000,60 500,82 000,140 000,54 000,64 500,54 000,82 000,64 500,60 500,54 000,64 500,82 000,54 000,54 000,51 000,82 000,82 000,76 000,82 000,82 000,51 000,51 000,51 000,64 500,60 500,105 000,76 000,76 000,54 000,51 000,51 000,51 000,105 000,76 000,82 000,40 500,51 000,51 000,40 500,40 500,40 500
Планы отчетности,Отчетность «Легкий» (вариант LB2o),EOpSBISfrmLB2o,14 300,8 100,5 500,8 100,6 900,6 900,6 000,6 000,6 000,6 000,6 000,6 000,8 100,6 000,6 000,6 900,6 000,6 900,6 900,6 000,6 000,6 000,5 000,8 100,6 000,6 900,6 900,6 000,6 900,6 900,5 800,6 000,5 800,6 000,6 000,6 000,5 800,6 900,6 000,8 100,6 900,6 000,8 100,8 100,6 000,6 000,6 900,6 000,8 100,6 000,8 100,11 200,6 000,8 100,6 000,8 700,6 000,6 900,6 000,8 100,8 700,6 000,6 000,6 000,8 700,8 700,6 900,8 100,6 900,5 800,6 000,5 800,6 900,6 000,8 700,6 900,8 100,8 100,6 000,6 900,5 800,6 900,6 900,6 900,3 800,5 800,5 800,3 800,3 800,3 800
