Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Адыгея,Республика Башкортостан,Республика Бурятия,Республика Алтай,Республика Дагестан,Республика Ингушетия,Респ. Кабардино-Балкарская,Республика Калмыкия,Респ. Карачаево-Черкесская,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Северная Осетия - Алания,Республика Татарстан,Республика Тыва,Удмуртская Республика,Республика Хакасия,Республика Чечня,Республика Чувашия,Алтайский край,Краснодарский край,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская обл.,Архангельская обл.,Астраханская обл.,Белгородская обл.,Брянская обл.,Владимирская обл.,Волгоградская обл.,Вологодская обл.,Воронежская обл.,Ивановская обл.,Иркутская обл.,Калининградская обл.,Калужская обл.,Камчатский край,Кемеровская обл.,Кировская обл.,Костромская обл.,Курганская обл.,Курская обл.,Ленинградская обл.,Липецкая обл.,Магаданская обл.,Московская обл.,Мурманская обл.,Нижегородская обл.,Новгородская обл.,Новосибирская обл.,Омская обл.,Оренбургская обл.,Орловская обл.,Пензенская обл.,Пермский край,Псковская обл.,Ростовская обл.,Рязанская обл.,Самарская обл.,Тольятти,Саратовская обл.,Сахалинская обл.,Свердловская обл.,Смоленская обл.,Тамбовская обл.,Тверская обл.,Томская обл.,Тульская обл.,Тюменская обл.,Ульяновская обл.,Челябинская обл.,Забайкальский край,Ярославская обл.,Еврейская АО,Ненецкий АО,Ханты-Мансийский АО,Чукотский АО,Ямало-Ненецкий АО,Запорожская обл.,Республика Крым,Севастополь,Донецкая нар. респ.,Луганская нар. респ.,Херсонская обл.
Интеграции и сервисы,Интеграция со Сбербанком — ИП,Int_Ip,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500,1 500
Интеграции и сервисы,Интеграция со Сбербанком — ЮЛ,Int_Ul,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500
Сервисы и доп. опции,Распознавание первички — 250 документов/год,recognize_250,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900,1 900
Базовые возможности,500,EOtKey,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000
Онлайн-кассы и ОФД,Цена 1 ККТ,OFD_KEY15,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000
Онлайн-кассы и ОФД,Цена 1 ККТ,OFD_KEY36,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000
Для магазинов (розница),Брендированное приложение,BrandApp,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000
Для магазинов (розница),Брендированное приложение,BrandApp_Add1,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000
Для магазинов (розница),Заказы и доставка,finance,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500
Для магазинов (розница),Интеграция с системами лояльности,Loyalty_int,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000
