Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Адыгея,Республика Башкортостан,Республика Бурятия,Республика Алтай,Республика Дагестан,Республика Ингушетия,Респ. Кабардино-Балкарская,Республика Калмыкия,Респ. Карачаево-Черкесская,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Северная Осетия - Алания,Республика Татарстан,Республика Тыва,Удмуртская Республика,Республика Хакасия,Республика Чечня,Республика Чувашия,Алтайский край,Краснодарский край,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская обл.,Архангельская обл.,Астраханская обл.,Белгородская обл.,Брянская обл.,Владимирская обл.,Волгоградская обл.,Вологодская обл.,Воронежская обл.,Ивановская обл.,Иркутская обл.,Калининградская обл.,Калужская обл.,Камчатский край,Кемеровская обл.,Кировская обл.,Костромская обл.,Курганская обл.,Курская обл.,Ленинградская обл.,Липецкая обл.,Магаданская обл.,Московская обл.,Мурманская обл.,Нижегородская обл.,Новгородская обл.,Новосибирская обл.,Омская обл.,Оренбургская обл.,Орловская обл.,Пензенская обл.,Пермский край,Псковская обл.,Ростовская обл.,Рязанская обл.,Самарская обл.,Тольятти,Саратовская обл.,Сахалинская обл.,Свердловская обл.,Смоленская обл.,Тамбовская обл.,Тверская обл.,Томская обл.,Тульская обл.,Тюменская обл.,Ульяновская обл.,Челябинская обл.,Забайкальский край,Ярославская обл.,Еврейская АО,Ненецкий АО,Ханты-Мансийский АО,Чукотский АО,Ямало-Ненецкий АО,Запорожская обл.,Республика Крым,Севастополь,Донецкая нар. респ.,Луганская нар. респ.,Херсонская обл.
Базовые возможности,500,AddUsers10,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200,7 200
Базовые возможности,500,AddUsers100,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000,60 000
Базовые возможности,500,AddUsers50,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000
Базовые возможности,500,AddUsers500,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000,275 000
Мессенджер и звонки,+5,Web_add1,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900,24 900
Мессенджер и звонки,+5,Web_add2,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900,44 900
Мессенджер и звонки,+5,Web_add5,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900,99 900
Мессенджер и звонки,+500,Webinar100,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000
Мессенджер и звонки,+500,Webinar50,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000
Мессенджер и звонки,+500,Webinar500,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000
