Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Адыгея,Республика Башкортостан,Республика Бурятия,Республика Алтай,Республика Дагестан,Республика Ингушетия,Респ. Кабардино-Балкарская,Республика Калмыкия,Респ. Карачаево-Черкесская,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Северная Осетия - Алания,Республика Татарстан,Республика Тыва,Удмуртская Республика,Республика Хакасия,Республика Чечня,Республика Чувашия,Алтайский край,Краснодарский край,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская обл.,Архангельская обл.,Астраханская обл.,Белгородская обл.,Брянская обл.,Владимирская обл.,Волгоградская обл.,Вологодская обл.,Воронежская обл.,Ивановская обл.,Иркутская обл.,Калининградская обл.,Калужская обл.,Камчатский край,Кемеровская обл.,Кировская обл.,Костромская обл.,Курганская обл.,Курская обл.,Ленинградская обл.,Липецкая обл.,Магаданская обл.,Московская обл.,Мурманская обл.,Нижегородская обл.,Новгородская обл.,Новосибирская обл.,Омская обл.,Оренбургская обл.,Орловская обл.,Пензенская обл.,Пермский край,Псковская обл.,Ростовская обл.,Рязанская обл.,Самарская обл.,Тольятти,Саратовская обл.,Сахалинская обл.,Свердловская обл.,Смоленская обл.,Тамбовская обл.,Тверская обл.,Томская обл.,Тульская обл.,Тюменская обл.,Ульяновская обл.,Челябинская обл.,Забайкальский край,Ярославская обл.,Еврейская АО,Ненецкий АО,Ханты-Мансийский АО,Чукотский АО,Ямало-Ненецкий АО,Запорожская обл.,Республика Крым,Севастополь,Донецкая нар. респ.,Луганская нар. респ.,Херсонская обл.
ЭТрН,ЭТрН — 1 000 накладных,ETRN_1000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000
ЭТрН,ЭТрН — 10 000 накладных,ETRN_10000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000
ЭТрН,ЭТрН — 3 000 накладных,ETRN_3000,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500,13 500
ЭТрН,ЭТрН — 5 000 накладных,ETRN_5000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000
ЭТрН,ЭТрН — 50 000 накладных,ETRN_50000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000,150 000
Транспорт и логистика,"Заявки, наряды, касса и склад",Applic_Stock,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000,17 000
Транспорт и логистика,Управление транспортом,Applications,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000,11 000
Транспорт и логистика,Управление транспортом,Logistic,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000
Транспорт и логистика,Управление транспортом,Waybills,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000,18 000
Транспорт и логистика,Управление транспортом,Waybills_1,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000
